error_category,events_count,users_count,example_message
Not found,4,2,Выполнение действия LaunchProgram id: 8aa5d234-7f71-4c94-8ddc-3ae1ae2dbcf6 группы действий id: 92e7cccb-307d-483e-8395-5556c863320b The system cannot find the file specified | System.ComponentModel.Win32Exception (0x8000 | Выполнение действия WebBrowserExtensions id: 024ea895-342a-416c-841b-7e760e9f8661 группы действий id: 7e01c1de-79d3-4d2c-b382-c8c334f30701 Cannot find extension with id pfhgbfnnjiafkhfdkmpiflachepdcjod | System.InvalidOp
Выполнение действия WebBrowserSettings id: <id> группы действий id: <id> Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка ,4,2,Выполнение действия WebBrowserSettings id: b55da638-bb98-4bc9-a758-42a6e6af1227 группы действий id: e45ae527-5294-403a-915a-7b6e0ac12522 Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка обращения к Inst | Выполнение действия WebBrowserSettings id: b55da638-bb98-4bc9-a758-42a6e6af1227 группы действий id: e45ae527-5294-403a-915a-7b6e0ac12522 Ошибка обращения к Instance.ClearCookie | System.Exception: Ошибка обращения к Inst
Выполнение действия VariableOperations id: <id> группы действий id: <id> Значение для увеличения не может быть приведено к числовому | Syste,4,2,Выполнение действия VariableOperations id: ea945cdf-89cd-4ce1-b8ba-78955b91bcba группы действий id: 2fa055cc-d551-4cac-82c4-ee72bbab659f Значение для увеличения не может быть приведено к числовому | System.FormatExceptio | Выполнение действия VariableOperations id: 8e65ce01-2a1d-4b64-99b3-86eecdf7d835 группы действий id: 817e050d-5bb0-4c9d-b4c0-5273f9f42368 Значение для увеличения не может быть приведено к числовому | System.FormatExceptio
"Выполнение действия Profile id: <id> группы действий id: <id> Файла не существует по пути ""C:\Users\ооолод\Downloads\Telegram Desktop\профил",4,1,"Выполнение действия Profile id: df34c8e9-87a3-4de4-93f6-c309d1bd3fd8 группы действий id: 26f476f6-5288-4a1f-b682-7198e052a2f4 Файла не существует по пути ""C:\Users\ооолод\Downloads\Telegram Desktop\профиль\0Acd.zpprofile | Выполнение действия Profile id: df34c8e9-87a3-4de4-93f6-c309d1bd3fd8 группы действий id: 26f476f6-5288-4a1f-b682-7198e052a2f4 Файла не существует по пути ""C:\Users\ооолод\Downloads\Telegram Desktop\профиль\0Acd.zpprofile"
Выполнение действия Logic id: <id> группы действий id: <id> No such variable: email_login | ZennoLab.TemplateManipulator.V4.Helpers.InvalidV,4,1,Выполнение действия Logic id: fc651ee1-9ba3-4fc0-ba2b-524ec4415c06 группы действий id: 23142d15-f06d-456b-baf3-68acf0a07e44 No such variable: email_login | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException | Выполнение действия Logic id: fc651ee1-9ba3-4fc0-ba2b-524ec4415c06 группы действий id: 23142d15-f06d-456b-baf3-68acf0a07e44 No such variable: email_login | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException
Выполнение действия Plugin id: <id> группы действий id: <id> Ошибка при обработке плагина ApprooveMM Ошибка в действии: <id>,4,1,Выполнение действия Plugin id: bf6d1fee-5214-4713-91ff-b49aa843faaa группы действий id: 35e047cc-a326-4410-8531-476762fc1829 Ошибка при обработке плагина ApprooveMM Ошибка в действии: 98ffa2e4-0fec-4650-9e63-765f90ec9a8b | Выполнение действия Plugin id: 3def39e2-fe15-4103-9aaf-3dc23ad39142 группы действий id: a888fd9f-d95a-4948-9abf-849755b9e10e Ошибка при обработке плагина ApprooveMM Ошибка в действии: 98ffa2e4-0fec-4650-9e63-765f90ec9a8b
运行人物信息 动作id<id> 动作组id<id> 未发现匹配的配置文件 | System.Data.ObjectNotFoundException: 未发现匹配的配置文件,4,1,"运行人物信息 动作id47d66640-26f3-4bed-8b2a-99a74e4e24aa 动作组idf8f3aca4-dfbd-4b18-a68a-60cd1ba6f532 未发现匹配的配置文件 | System.Data.ObjectNotFoundException: 未发现匹配的配置文件
   at ZennoLab.BrowserProfileClient.BrowserProfileCollector.GetSimil | 运行人物信息 动作idb17a1de0-220c-4e13-aed8-65603ef0da9e 动作组idf8f3aca4-dfbd-4b18-a68a-60cd1ba6f532 未发现匹配的配置文件 | System.Data.ObjectNotFoundException: 未发现匹配的配置文件
   at ZennoLab.BrowserProfileClient.BrowserProfileCollector.GetSimil"
执行项目中的动作id:<id> 动作组id<id> 从指定路径中为发现嵌套项目C:\Users\Administrator\Desktop\zp\auto\,4,1,执行项目中的动作id:2008ac4c-f9ae-48f0-81a6-a5a998da0dd2 动作组id3450f014-ee5d-41f4-9554-12d3df0a6160 从指定路径中为发现嵌套项目C:\Users\Administrator\Desktop\zp\auto\ | 执行项目中的动作id:2008ac4c-f9ae-48f0-81a6-a5a998da0dd2 动作组id3450f014-ee5d-41f4-9554-12d3df0a6160 从指定路径中为发现嵌套项目C:\Users\Administrator\Desktop\zp\auto\
Выполнение действия CSharp OwnCode: API: Заливка header. id: <id> группы действий id: <id> [Строка: 67; Cтолбец: 4] Header upload: Удаленный,4,1,Выполнение действия CSharp OwnCode: API: Заливка header. id: 53c9fd9e-f09c-40f6-b4eb-85bb68298326 группы действий id: b01b0324-974e-47d5-ba2c-4fb8517b732c [Строка: 67; Cтолбец: 4] Header upload: Удаленный сервер возврати | Выполнение действия CSharp OwnCode: API: Заливка header. id: 53c9fd9e-f09c-40f6-b4eb-85bb68298326 группы действий id: b01b0324-974e-47d5-ba2c-4fb8517b732c [Строка: 67; Cтолбец: 4] Header upload: Удаленный сервер возврати
Выполнение действия VariableOperations id: <id> группы действий id: <id> No such variable: images | ZennoLab.TemplateManipulator.V4.Helpers.,4,1,Выполнение действия VariableOperations id: fa637416-aab5-41cb-8bf8-eda6e1f4ecf0 группы действий id: 69ac0535-962b-4731-be12-fe859295a72f No such variable: images | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableE | Выполнение действия VariableOperations id: 369f4233-9aca-4aee-ad0e-be948f2eac3b группы действий id: 2dbc8b12-f3ec-43d9-bc34-8a3c180e961f No such variable: images | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableE
Выполнение действия ParsePage id: <id> группы действий id: <id> Ошибка получения данных из html документа | System.Exception: Ошибка получен,4,1,Выполнение действия ParsePage id: 8fe4f8a8-2cb3-461e-9fc3-c5e0029a177b группы действий id: 72038ff6-5838-45af-81ac-380a2c8ae9b8 Ошибка получения данных из html документа | System.Exception: Ошибка получения данных из htm | Выполнение действия ParsePage id: 8fe4f8a8-2cb3-461e-9fc3-c5e0029a177b группы действий id: 72038ff6-5838-45af-81ac-380a2c8ae9b8 Ошибка получения данных из html документа | System.Exception: Ошибка получения данных из htm
执行动作 Db id: <id> 在动作组中: <id> No such variable: info | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such variable: in,4,1,执行动作 Db id: a97296fd-91b1-4061-9656-35ad6beda16d 在动作组中: 61682af4-ca12-4c62-9eb3-1059efe6495c No such variable: info | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such variable: info ---> System.I | 执行动作 Db id: a97296fd-91b1-4061-9656-35ad6beda16d 在动作组中: 61682af4-ca12-4c62-9eb3-1059efe6495c No such variable: info | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such variable: info ---> System.I
Подпроект newAccs. Выполнение действия Table id: <id> группы действий id: <id> подпроект path: C:\Users\chyzh\OneDrive\Робочий стіл\Нова пап,4,1,Подпроект newAccs. Выполнение действия Table id: a2755b93-91e5-49f5-9440-cb590c1b84a0 группы действий id: 4bc931c3-6f99-4f80-a111-4377841354bd подпроект path: C:\Users\chyzh\OneDrive\Робочий стіл\Нова папка\newAccs.zp Вх | Подпроект newAccs. Выполнение действия Table id: a2755b93-91e5-49f5-9440-cb590c1b84a0 группы действий id: 4bc931c3-6f99-4f80-a111-4377841354bd подпроект path: C:\Users\chyzh\OneDrive\Робочий стіл\Нова папка\newAccs.zp Вх
Выполнение программы C:\Users\ilya.krabik\anaconda3\envs\pytools_envs\python.exe действия id: <id> группы действий id: <id> Результат: 1,4,1,Выполнение программы C:\Users\ilya.krabik\anaconda3\envs\pytools_envs\python.exe действия id: 967f6bf0-bbe3-4ee0-9695-ad02f574d20e группы действий id: 6ffd058a-69d2-44c9-9515-c19e0f338750 Результат: 1 | Выполнение программы C:\Users\ilya.krabik\anaconda3\envs\pytools_envs\python.exe действия id: 967f6bf0-bbe3-4ee0-9695-ad02f574d20e группы действий id: 6ffd058a-69d2-44c9-9515-c19e0f338750 Результат: 1
Выполнение действия LaunchProgram id: <id> группы действий id: <id> Указанный исполняемый файл не является действительным приложением для эт,4,1,Выполнение действия LaunchProgram id: d6457dc1-c668-4c31-b1c3-db9f91e9e5e8 группы действий id: 678e7f5e-e8ce-4b67-82da-fb59bb44631f Указанный исполняемый файл не является действительным приложением для этой операционной  | Выполнение действия LaunchProgram id: 05d43304-f1c3-4419-84ae-e7495e8115b2 группы действий id: 565dff28-6d27-442d-9267-d3e14eb8c896 Указанный исполняемый файл не является действительным приложением для этой операционной 
Выполнение действия Запустить инстанс ZennoBrowser id: <id> группы действий id: <id> Ошибка запуска профиля ZennoBrowser (<id>): Can't conne,3,3,Выполнение действия Запустить инстанс ZennoBrowser id: 70d98b7f-c378-4028-bf28-a01efc865370 группы действий id: 6d93218d-41c6-44ce-94ff-b7fbac6ceea3 Ошибка запуска профиля ZennoBrowser (BBD414CF-D939-4A05-966B-5D26EF3AB2 | Выполнение действия Запустить инстанс ZennoBrowser id: 5ad55678-5433-48a3-ba76-fc81ef19208f группы действий id: 77156030-1d14-4fad-ba2f-6e56cfc05f29 Ошибка запуска профиля ZennoBrowser (822561ce-3136-4c64-8333-3f9977ef59
работа с email не найдено письмо,3,3,работа с email не найдено письмо | работа с email не найдено письмо
Выполнение действия WebBrowserTab id: <id> группы действий id: <id> Не нашли активную вкладку в инстансе. Инстанс 0: | System.Exception: Не ,3,3,Выполнение действия WebBrowserTab id: 074e8dee-49ab-4ee8-8ea0-db225276732d группы действий id: 1e04eebe-e332-4ab4-a9a4-93702e98b5c5 Не нашли активную вкладку в инстансе. Инстанс 0: | System.Exception: Не нашли активную в | Выполнение действия WebBrowserTab id: 74025441-7a4d-46e3-8a6e-93a464fc8cbd группы действий id: cd13ab0a-e53e-474c-adf4-f69f850f07dc Не нашли активную вкладку в инстансе. Инстанс 0: | System.Exception: Не нашли активную в
执行动作C#自定义代码.id: <id> 动作组 id: <id> Thread was being aborted. | System.Threading.ThreadAbortException: Thread was being aborted,3,3,"执行动作C#自定义代码.id: be962b93-4c12-4377-bbca-b0dda5c9cdd8 动作组 id: c090277e-d86e-41fd-a87d-3d1a333ad6a1 Thread was being aborted. | System.Threading.ThreadAbortException: Thread was being aborted.
   at System.RuntimeMethodHa | 执行动作C#自定义代码.id: 91f290a7-1942-4612-a144-3e2183f20602 动作组 id: 4bd94edb-d901-49ad-9d41-5970b3e86bd8 Thread was being aborted. | System.Threading.ThreadAbortException: Thread was being aborted.
   at Global.ProjectExecutor"
Взятие строки из таблицы действия id: <id> группы действий id: <id> Ошибка при обработке таблицы,3,3,Взятие строки из таблицы действия id: 6e1f8218-9b15-4ea8-a482-39374ff7b283 группы действий id: 4dca608f-7a70-47ee-8c27-8e2d6d4bb9c3 Ошибка при обработке таблицы | Взятие строки из таблицы действия id: 9458ac80-0108-42db-bbc4-ae07efb16f8e группы действий id: 93302839-cbba-4ad1-9cdb-8a949378cb81 Ошибка при обработке таблицы
Выполнение действия Получить список профилей ZennoBrowser id: <id> группы действий id: <id> Can't connect to ZennoBrowser | System.Exception,3,2,Выполнение действия Получить список профилей ZennoBrowser id: 035f7eec-167d-46e4-ab28-ed259e105578 группы действий id: 75a28123-fb5d-451a-a3c9-ff6c955b71f4 Can't connect to ZennoBrowser | System.Exception: Can't connect  | Выполнение действия Получить список профилей ZennoBrowser id: 9b53b61c-fde5-4998-a510-02b2c8b0b319 группы действий id: a3453c2e-3c56-4f6b-81b2-7633e995963a Can't connect to ZennoBrowser | System.Exception: Can't connect 
Выполнение действия HtmlElement id: <id> группы действий id: <id> Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращения,3,2,Выполнение действия HtmlElement id: d7235a93-90ef-4e04-88fe-2d3cce2c3db8 группы действий id: 5c612b95-0772-4901-b14d-88554cc31569 Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращения к Instance.Acti | Выполнение действия HtmlElement id: a9936eb4-16a6-416c-9fa8-f23e238e028d группы действий id: 2d80463f-a192-44d2-a7ae-3c753b84f95a Ошибка обращения к Instance.ActiveTab | System.Exception: Ошибка обращения к Instance.Acti
"Выполнение действия Emulation id: <id> группы действий id: <id> Имитация просмотра страницы не поддерживается в Firefox52x64. Пожалуйста, ис",3,2,"Выполнение действия Emulation id: e1acec73-3889-4757-8662-3b5fbcbd4cf9 группы действий id: 94ea2462-dc40-4abd-9bc1-ef9ad0feeb20 Имитация просмотра страницы не поддерживается в Firefox52x64. Пожалуйста, используйте CEF (C | Выполнение действия Emulation id: e1acec73-3889-4757-8662-3b5fbcbd4cf9 группы действий id: 94ea2462-dc40-4abd-9bc1-ef9ad0feeb20 Имитация просмотра страницы не поддерживается в Firefox52x64. Пожалуйста, используйте CEF (C"
Выполнение действия Emulation id: <id> группы действий id: <id> Ошибка обращения к Instance.SendText | System.Exception: Ошибка обращения к ,3,2,Выполнение действия Emulation id: 6e9a9b6f-7b54-4dc2-bb24-e27c9b4c89aa группы действий id: 25f860c4-b02d-44ad-8a39-d5a613258585 Ошибка обращения к Instance.SendText | System.Exception: Ошибка обращения к Instance.SendTex | Выполнение действия Emulation id: 69b68ef2-281a-462c-b17f-5bc00d6b16eb группы действий id: fb21ea68-c95d-48d6-b2f9-95d54723c740 Ошибка обращения к Instance.SendText | System.Exception: Ошибка обращения к Instance.SendTex
Executing the Start ZennoBrowser instance action id: <id> action group id: <id> ZennoBrowser product is not installed | ZennoLab.ZennoPoster,3,1,Executing the Start ZennoBrowser instance action id: 8e70da0b-2207-4988-8da0-b2e15b687024 action group id: 41f7db80-eb7d-4101-ada0-422e0cef2fa7 ZennoBrowser product is not installed | ZennoLab.ZennoPoster.Core.Tasks.Thre | Executing the Start ZennoBrowser instance action id: 8e70da0b-2207-4988-8da0-b2e15b687024 action group id: 41f7db80-eb7d-4101-ada0-422e0cef2fa7 ZennoBrowser product is not installed | ZennoLab.ZennoPoster.Core.Tasks.Thre
Perform the JavaScript OwnCode action id: <id> action group id: <id> CdpDocument.EvaluateScript failed | System.Exception: CdpDocument.Evalu,3,1,Perform the JavaScript OwnCode action id: dfdc76fc-b98a-4d34-9e5d-3b6eb90e0c4e action group id: a7e50a8f-5e7f-4fe1-b206-d673dab5ce96 CdpDocument.EvaluateScript failed | System.Exception: CdpDocument.EvaluateScript failed | Perform the JavaScript OwnCode action id: dfdc76fc-b98a-4d34-9e5d-3b6eb90e0c4e action group id: a7e50a8f-5e7f-4fe1-b206-d673dab5ce96 CdpDocument.EvaluateScript failed | System.Exception: CdpDocument.EvaluateScript failed
Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 22; Cтолбец: 0] <n>.. Нет xpath элемента: //h1[contains(@clas,3,1,"Выполнение действия CSharp OwnCode. id: 6549fe48-39b9-4cf7-a499-c3dc4c791689 группы действий id: 7ead47a5-6ac4-488b-ae76-f3d4e8430a2d [Строка: 22; Cтолбец: 0] 50606.. Нет xpath элемента: //h1[contains(@class,'p-stage-hea | Выполнение действия CSharp OwnCode. id: 6549fe48-39b9-4cf7-a499-c3dc4c791689 группы действий id: 7ead47a5-6ac4-488b-ae76-f3d4e8430a2d [Строка: 22; Cтолбец: 0] 50606.. Нет xpath элемента: //h1[contains(@class,'p-stage-hea"
Подпроект Сериалы - создание заданий на анимирование. Выполнение действия ProjectInProject id: <id> группы действий id: <id> подпроект path:,3,1,Подпроект Сериалы - создание заданий на анимирование. Выполнение действия ProjectInProject id: 7e9fc402-4648-4207-a86b-446098bf0d79 группы действий id: b1f26295-31a4-4787-ae81-ba974de41cb6 подпроект path: C:\OpenCloud\Yo | Подпроект Сериалы - создание заданий на анимирование. Выполнение действия ProjectInProject id: 0138e08f-f42d-416b-adb9-c6e77349f7e4 группы действий id: c3ec271d-f919-4cba-92a2-a70b9e9da095 подпроект path: C:\OpenCloud\Yo
Подпроект Сериалы - создание заданий на анимирование. Выполнение логического оператора If действия id: <id> группы действий id: <id> подпрое,3,1,Подпроект Сериалы - создание заданий на анимирование. Выполнение логического оператора If действия id: 0647c96d-c5e7-4d83-9d21-22002092d171 группы действий id: 73fce613-7322-42a1-8420-0387f8806948 подпроект path: C:\Open | Подпроект Сериалы - создание заданий на анимирование. Выполнение логического оператора If действия id: 0647c96d-c5e7-4d83-9d21-22002092d171 группы действий id: 73fce613-7322-42a1-8420-0387f8806948 подпроект path: C:\Open
Выполнение действия Db id: <id> группы действий id: <id> ERROR [22P02] ОШИБКА: неверный синтаксис для типа json,3,1,"Выполнение действия Db id: 7ce91f8e-de72-4d37-83ec-366b096644b8 группы действий id: f3fab71b-0dfa-43d2-b150-51d545aded1c ERROR [22P02] ОШИБКА: неверный синтаксис для типа json
DETAIL: Неожиданный конец входной строки.;
E | Выполнение действия Db id: 7ce91f8e-de72-4d37-83ec-366b096644b8 группы действий id: f3fab71b-0dfa-43d2-b150-51d545aded1c ERROR [22P02] ОШИБКА: неверный синтаксис для типа json
DETAIL: Неожиданный конец входной строки.;
E"
Выполнение действия CSharp OwnCode: FARM. id: <id> группы действий id: <id> System.FormatException: Входная строка имела неверный формат.. |,3,1,Выполнение действия CSharp OwnCode: FARM. id: 07d65537-b752-42f2-9a99-876d28b6786e группы действий id: 14fba7e6-e468-479c-9e77-de2787492c0f System.FormatException: Входная строка имела неверный формат.. | System.Exceptio | Выполнение действия CSharp OwnCode: FARM. id: 07d65537-b752-42f2-9a99-876d28b6786e группы действий id: 14fba7e6-e468-479c-9e77-de2787492c0f System.FormatException: Входная строка имела неверный формат.. | System.Exceptio
Выполнение действия Db id: <id> группы действий id: <id> ERROR [IM014] [Microsoft][ODBC Driver Manager] The specified DSN contains an archit,3,1,Выполнение действия Db id: c1652c5e-d512-4277-87fc-a1a3d57d3484 группы действий id: b6d0411c-d9d7-481e-bdff-7405b62aa937 ERROR [IM014] [Microsoft][ODBC Driver Manager] The specified DSN contains an architecture mismatch  | Выполнение действия Db id: c1652c5e-d512-4277-87fc-a1a3d57d3484 группы действий id: b6d0411c-d9d7-481e-bdff-7405b62aa937 ERROR [IM014] [Microsoft][ODBC Driver Manager] The specified DSN contains an architecture mismatch 
Выполнение программы C:\Zenno\Metatags\Metatags.bat действия id: <id> группы действий id: <id> Результат: 1,3,1,Выполнение программы C:\Zenno\Metatags\Metatags.bat действия id: afb30eab-d8c0-4842-8734-fffcdaf50e9f группы действий id: 2624940e-f804-4856-93da-63c5987ba821 Результат: 1 | Выполнение программы C:\Zenno\Metatags\Metatags.bat действия id: cf4befaf-133d-4761-9b28-cf86c207db98 группы действий id: 95ad8d64-8dbd-48ac-944f-ee9ac3d4ed44 Результат: 1
"Выполнение действия CSharp OwnCode. id: <id> группы действий id: <id> [Строка: 15; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.S",3,1,"Выполнение действия CSharp OwnCode. id: 763efaac-8b1a-438d-93f3-92f1cc99c2b0 группы действий id: 71cbd4ae-a550-474f-8099-fa9c96d1302f [Строка: 15; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.SshNet, Version=2 | Выполнение действия CSharp OwnCode. id: 763efaac-8b1a-438d-93f3-92f1cc99c2b0 группы действий id: 71cbd4ae-a550-474f-8099-fa9c96d1302f [Строка: 15; Cтолбец: 0] Не удалось загрузить файл или сборку ""Renci.SshNet, Version=2"
"Выполнение действия Parse Json/Xml id: <id> группы действий id: <id> Unexpected character encountered while parsing value: (. Path '', line ",3,1,"Выполнение действия Parse Json/Xml id: 0073a1a2-59dd-4c94-91e4-629871435f44 группы действий id: 789f33f4-4478-4c27-8073-ad3aafac48e5 Unexpected character encountered while parsing value: (. Path '', line 0, position 0. | | Выполнение действия Parse Json/Xml id: 0073a1a2-59dd-4c94-91e4-629871435f44 группы действий id: 789f33f4-4478-4c27-8073-ad3aafac48e5 Unexpected character encountered while parsing value: (. Path '', line 0, position 0. |"
"Выполнение действия CSharp OwnCode: Get Messagge. id: <id> группы действий id: <id> Unterminated string. Expected delimiter: "". Path 'messag",3,1,"Выполнение действия CSharp OwnCode: Get Messagge. id: 38e8b647-416d-4991-a73c-034f3a3f73d6 группы действий id: e5ffb255-4215-43c4-b051-ee07b8df6b7d Unterminated string. Expected delimiter: "". Path 'message', line 1, posi | Выполнение действия CSharp OwnCode: Get Messagge. id: 38e8b647-416d-4991-a73c-034f3a3f73d6 группы действий id: e5ffb255-4215-43c4-b051-ee07b8df6b7d Unterminated string. Expected delimiter: "". Path 'message', line 1, posi"
"Поиск текста на странице действия id: <id> группы действий id: <id> Не найден, Url: https://vk.ru/club236207849/settings/requests, Regex: По",3,1,"Поиск текста на странице действия id: 18f68230-9968-4e3c-a34e-8ba08e02be06 группы действий id: 6e47350f-f9f4-456a-a6be-d78b8003c338 Не найден, Url: https://vk.ru/club236207849/settings/requests, Regex: Поиск по заявкам | Поиск текста на странице действия id: 18f68230-9968-4e3c-a34e-8ba08e02be06 группы действий id: 6e47350f-f9f4-456a-a6be-d78b8003c338 Не найден, Url: https://vk.ru/club236207849/settings/requests, Regex: Поиск по заявкам"
Выполнение программы D:\0.<n> Программы\0.<n> jq\jq.exe действия id: <id> группы действий id: <id> Результат: 3,3,1,Выполнение программы D:\0.001 Программы\0.117 jq\jq.exe действия id: 716d852e-ce61-49fa-8ec6-cebca95b43ef группы действий id: 2c7ee44a-35f4-4253-ba6f-0f91e406082e Результат: 3 | Выполнение программы D:\0.001 Программы\0.117 jq\jq.exe действия id: 716d852e-ce61-49fa-8ec6-cebca95b43ef группы действий id: 2c7ee44a-35f4-4253-ba6f-0f91e406082e Результат: 3
Выполнение действия CSharp OwnCode: ПРОВЕРКА НА УСПЕШНОСТЬ РЕГИСТРАЦИИ. id: <id> группы действий id: <id> Поток находился в процессе прерыва,3,1,Выполнение действия CSharp OwnCode: ПРОВЕРКА НА УСПЕШНОСТЬ РЕГИСТРАЦИИ. id: a8b56af8-a49a-487d-9343-d1368e858292 группы действий id: e61bb114-9f4d-4034-9778-81385479a2f3 Поток находился в процессе прерывания. | System.Th | Выполнение действия CSharp OwnCode: ПРОВЕРКА НА УСПЕШНОСТЬ РЕГИСТРАЦИИ. id: a8b56af8-a49a-487d-9343-d1368e858292 группы действий id: e61bb114-9f4d-4034-9778-81385479a2f3 Поток находился в процессе прерывания. | System.Th
"Выполнение действия Table id: <id> группы действий id: <id> Column name must be one-, two- or three-letter name from A to XFD",3,1,"Выполнение действия Table id: 05c33c18-4fd2-4b1a-9b27-cc916c761f3b группы действий id: 3cc67e72-5b43-4db9-bbdc-053ff23307d6 Column name must be one-, two- or three-letter name from A to XFD.
Имя параметра: name
Фактиче | Выполнение действия Table id: 05c33c18-4fd2-4b1a-9b27-cc916c761f3b группы действий id: 3cc67e72-5b43-4db9-bbdc-053ff23307d6 Column name must be one-, two- or three-letter name from A to XFD.
Имя параметра: name
Фактиче"
Выполнение действия JavaScript OwnCode id: <id> группы действий id: <id> No such variable: entry_price_fixed,3,1,Выполнение действия JavaScript OwnCode id: 494751bf-f41d-4043-994d-81daa117cc38 группы действий id: a1712f7d-5d28-4fe6-9c70-6fc13c76a32a No such variable: entry_price_fixed | Выполнение действия JavaScript OwnCode id: 494751bf-f41d-4043-994d-81daa117cc38 группы действий id: a1712f7d-5d28-4fe6-9c70-6fc13c76a32a No such variable: entry_price_fixed
"Searching text on a page action id: <id>of action group id: <id> 未发现, Url: https://ipinfo.io/json, Regex: What's your car's make?",3,1,"Searching text on a page action id: 63780360-cedb-4201-8d71-34847183085aof action group id: 7ed9a9f2-e2a4-4fd6-b8f1-5bcd1f307893 未发现, Url: https://ipinfo.io/json, Regex: What's your car's make? | Searching text on a page action id: 63780360-cedb-4201-8d71-34847183085aof action group id: 7ed9a9f2-e2a4-4fd6-b8f1-5bcd1f307893 未发现, Url: https://ipinfo.io/json, Regex: What's your car's make?"
Выполнение действия LaunchProgram id: <id> группы действий id: <id> Переполнение TimeSpan из-за превышения длительности. | System.OverflowEx,3,1,Выполнение действия LaunchProgram id: ae3f615a-1b8c-4251-b367-42353ad00e77 группы действий id: 4e2ed299-314c-411f-a3ef-b169789f39c2 Переполнение TimeSpan из-за превышения длительности. | System.OverflowException: Перепол | Выполнение действия LaunchProgram id: ae3f615a-1b8c-4251-b367-42353ad00e77 группы действий id: 4e2ed299-314c-411f-a3ef-b169789f39c2 Переполнение TimeSpan из-за превышения длительности. | System.OverflowException: Перепол
执行动作C#自定义代码.id: <id> 动作组 id: <id> startIndex cannot be larger than length of string,3,1,"执行动作C#自定义代码.id: 4816102a-21da-486d-8e36-72aa97960b9b 动作组 id: d59daba7-7303-44a1-a41b-a34d36379f49 startIndex cannot be larger than length of string.
Parameter name: startIndex | System.ArgumentOutOfRangeException: start | 执行动作C#自定义代码.id: 4816102a-21da-486d-8e36-72aa97960b9b 动作组 id: d59daba7-7303-44a1-a41b-a34d36379f49 startIndex cannot be larger than length of string.
Parameter name: startIndex | System.ArgumentOutOfRangeException: start"
运行TextProcessing 动作id<id> 动作组id<id> No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such list: ---> Sys,3,1,运行TextProcessing 动作id98b5f5b3-56f2-46f1-9f8c-767aab553a35 动作组idd052a893-df53-436d-bad7-650f8935aa8d No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such list:  ---> System.InvalidOper | 运行TextProcessing 动作id98b5f5b3-56f2-46f1-9f8c-767aab553a35 动作组idd052a893-df53-436d-bad7-650f8935aa8d No such list: | ZennoLab.TemplateManipulator.V4.Helpers.InvalidVariableException: No such list:  ---> System.InvalidOper
Выполнение действия CSharp OwnCode: Get email. id: <id> группы действий id: <id> Поток находился в процессе прерывания. | System.Threading.T,3,1,Выполнение действия CSharp OwnCode: Get email. id: aa00b17b-2da6-4933-92e7-f378e0c5ee00 группы действий id: e04f1224-edc1-49e0-8d24-a54257ad6694 Поток находился в процессе прерывания. | System.Threading.ThreadAbortExcept | Выполнение действия CSharp OwnCode: Get email. id: aa00b17b-2da6-4933-92e7-f378e0c5ee00 группы действий id: e04f1224-edc1-49e0-8d24-a54257ad6694 Поток находился в процессе прерывания. | System.Threading.ThreadAbortExcept
Subproject aircheck_latest_001. Running HtmlElement action id: <id> action group id: <id> subproject path: C:\Users\jack\Desktop\aircheck_la,3,1,Subproject aircheck_latest_001. Running HtmlElement action id: 7d6ebff5-cd48-4c4e-801d-cb0f4a92a46d action group id: fa86dabc-e010-47ef-a834-676daa1079a7 subproject path: C:\Users\jack\Desktop\aircheck_latest_001.zp An H | Subproject aircheck_latest_001. Running HtmlElement action id: 7d6ebff5-cd48-4c4e-801d-cb0f4a92a46d action group id: fa86dabc-e010-47ef-a834-676daa1079a7 subproject path: C:\Users\jack\Desktop\aircheck_latest_001.zp An H
Выполнение действия Db id: <id> группы действий id: <id> You have an error in your SQL syntax; check the manual that corresponds to your MyS,3,1,Выполнение действия Db id: 1d6aa911-bbe2-45b4-a7e9-7611121a484e группы действий id: 762b214a-700a-41ef-9da8-c10e5e2a9349 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server versio | Выполнение действия Db id: 1d6aa911-bbe2-45b4-a7e9-7611121a484e группы действий id: 762b214a-700a-41ef-9da8-c10e5e2a9349 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server versio
